Bundesland;Name der Institution;Trägerschaft Hochschulkompass;Ort;Name Ministerien;Affiliation ROR;ROR ID;GRID ID;Wikidata ID;Einrichtungsart;URL Webseite Institution;Name GERiT;Ort GERiT;GERiT ID ;URL der Einrichtung GERiT;Name GERiT English;GRID ID GERiT;DFG Instituts ID GERiT;Straße GERiT;Hausnummer GERiT;Postfach GERiT;Postleitzahl vor Ort GERiT;Ort GERiT2;DESTATIS Fächerguppe GERiT;DESTATIS Lehr- Forschungsbereich GERiT;DESTATIS Fachgebiet GERiT;Crossref ID 1 GERiT;Crossref ID 2 GERiT;Crossref ID 3 GERiT;Einrichtungsart GERiT;Einrichtungsart GERIT English;OA Webseite der Institution;OA Webseite Datum;OA-Beauftragte/r;OA-Beauftragte/r URL;OA-Beauftragte/r URL Datum;Ansprechperson für Open Access;Ansprechperson für Open Access URL;Ansprechperson für Open Access URL Datum;(Funktions-)Emailadresse;OA Policy;OA Policy Datum;OA Policy URL;OA Policy URL Datum;OA Leitlinie;OA Leitlinie Datum;OA Leitlinie URL;OA Leitlinie URL Datum;Publikationsfonds;Publikationsfonds Art der Finanzierung;Zs. Publikationsfonds;Zs. Publikationsfonds URL;Mono Publikationsfonds ;Mono Publikationsfonds URL;Publikationsfonds Datum Recherche;Repositorium URL;OA-Verlag;OA-Verlag URL;OA-Verlag Datum Recherche;OJS-Standort;OJS-Standort URL;OJS-Standort Datum Recherche;OA/OS-Preis URL;Berliner Erklärung;Datum Berliner Erklärung (Bundesländeratlas);Berliner Erklärung Datum Recherche;OA2020;Datum OA2020 (Bundesländeratlas);OA2020 Datum Recherche;DORA Institution;DORA Datum Recherche;Jussieu;Jussieu Datum Recherche
Baden-Württemberg;Duale Hochschule Baden-Württemberg Heidenheim;NA;Heidenheim;Duale Hochschule Baden-Württemberg Heidenheim;NA;NA;NA;Q1262602;Hochschule;https://www.heidenheim.dhbw.de/startseite;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;www.heidenheim.dhbw.de/service-einrichtungen/bibliothek/tabs/6344/1/accordion/6980/1;44176;NA;NA;44176;NA;NA;44176;NA;ja;44075;www.dhbw.de/fileadmin/user_upload/Dokumente/Forschung/Open_Access_Policy_der_DHBW_2020.pdf;;NA;NA;;;ja;MWK-Kofinanziert;ja;NA;nein;NA;44176;NA;nein;NA;44360;nein;NA;44360;NA;nein;NA;44393;nein;NA;;nein;;nein;
Baden-Württemberg;Karlshochschule International University;privat, staatlich anerkannt;Karlsruhe;NA;NA;https://ror.org/03yjyed28;grid.448680.6;Q1733921;Hochschule;karlshochschule.de;Karlshochschule International University;Karlsruhe;http://www.gerit.org/de/institutiondetail/199691380;karlshochschule.de;Karlshochschule International University;grid.448680.6;NA;Karlstraße;36-38;NA;76133;Karlsruhe;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;NA;NA;NA;Weitere HS/FS;NA;NA;44393;NA;NA;44393;NA;NA;44393;NA;nein;NA;NA;;NA;NA;;;nein;NA;NA;NA;NA;NA;Recherche fehlt;NA;nein;NA;44360;nein;NA;44360;NA;nein;NA;44393;nein;NA;;nein;;nein;
Baden-Württemberg;Hochschule für Kirchenmusik der Diözese Rottenburg-Stuttgart;kirchlich, staatlich anerkannt;Rottenburg;Hochschule für Kirchenmusik der Diözese Rottenburg-Stuttgart;NA;NA;NA;NA;Hochschule;kirchenmusik-hochschule.org/;Hochschule für Kirchenmusik der Diözese Rottenburg-Stuttgart;Rottenburg;http://www.gerit.org/de/institutiondetail/13113;kirchenmusik-hochschule.org/;College of Church Music of the Diocese of Rottenburg-Stuttgart;NA;NA;St.-Meinrad-Weg;6;NA;72108;Rottenburg;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;NA;NA;NA;Musik/Kunst-HS;NA;NA;44256;NA;NA;44179;NA;NA;44179;NA;nein;NA;NA;;NA;NA;;;nein;NA;NA;NA;NA;NA;44179;NA;nein;NA;44360;nein;NA;44360;NA;nein;NA;44393;nein;NA;;nein;;nein;
Baden-Württemberg;Staatliche Akademie der Bildenden Künste Stuttgart;öffentlich-rechtlich;Stuttgart;NA;NA;https://ror.org/00zayq578;grid.461763.1;Q2324294;Hochschule;www.abk-stuttgart.de;Staatliche Akademie der Bildenden Künste Stuttgart;Stuttgart;http://www.gerit.org/de/institutiondetail/13028;www.abk-stuttgart.de;Stuttgart State Academy of Art and Design;grid.461763.1;NA;Am Weißenhof;1;NA;70191;Stuttgart;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;NA;NA;NA;Musik/Kunst-HS;NA;NA;44393;NA;NA;44393;NA;NA;44393;NA;nein;NA;NA;;NA;NA;;;nein;NA;NA;NA;NA;NA;Recherche fehlt;NA;nein;NA;44360;nein;NA;44360;NA;nein;NA;44393;nein;NA;;nein;;nein;
Baden-Württemberg;"Akademie für Darstellende Kunst Baden-Württemberg 
 (Theaterakademie Ludwigsburg)";NA;Ludwigsburg;"Akademie für Darstellende Kunst Baden-Württemberg 
 (Theaterakademie Ludwigsburg)";NA;https://ror.org/02j0n6s98;grid.449015.d;Q414258;Hochschule;www.adk-bw.de/;Pädagogische Hochschule Ludwigsburg;Ludwigsburg;http://www.gerit.org/de/institutiondetail/10065;www.ph-ludwigsburg.de;University of Education of Ludwigsburg;grid.449015.d;NA;Reuteallee;46;NA;71634;Ludwigsburg;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;NA;NA;NA;Universität;NA;NA;44176;NA;NA;44176;NA;NA;44176;NA;nein;NA;NA;;NA;NA;;;nein;NA;NA;NA;NA;NA;44176;NA;nein;NA;44360;nein;NA;44360;NA;nein;NA;44393;nein;NA;;nein;;nein;
Baden-Württemberg;AKAD University;NA;Stuttgart;NA;NA;https://ror.org/02a8wk986;grid.466299.6;Q30263681;Hochschule;www.akad.de/;AKAD University;Stuttgart;http://www.gerit.org/de/institutiondetail/971794;www.akad.de/;AKAD University;NA;NA;Heilbronner Straße;86;NA;70191;Stuttgart;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;NA;NA;NA;Weitere HS/FS;NA;NA;44393;NA;NA;16.ß7.2021;NA;NA;44393;NA;nein;NA;NA;;NA;NA;;;nein;NA;NA;NA;NA;NA;Recherche fehlt;NA;nein;NA;44360;nein;NA;44360;NA;nein;NA;44393;nein;NA;;nein;;nein;
Baden-Württemberg;Allensbach Hochschule;privat, staatlich anerkannt;Konstanz;NA;NA;https://ror.org/00x67g916;grid.507504.3;Q2586224;Hochschule;www.allensbach-hochschule.de/;Allensbach Hochschule;Konstanz;http://www.gerit.org/de/institutiondetail/29552;www.allensbach-hochschule.de/;Allensbach University;grid.507504.3;NA;Lohnerhofstraße;2;NA;78467;Konstanz;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;NA;NA;NA;Weitere HS/FS;NA;NA;NA;NA;NA;44393;NA;NA;44393;NA;nein;NA;NA;;NA;NA;;;nein;NA;NA;NA;NA;NA;Recherche fehlt;NA;nein;NA;44360;nein;NA;44360;NA;nein;NA;44393;nein;NA;;nein;;nein;
Baden-Württemberg;Duale Hochschule Baden-Württemberg Lörrach;NA;Lörrach;Duale Hochschule Baden-Württemberg Lörrach;NA;NA;NA;Q1001338;Hochschule;www.dhbw-loerrach.de/home;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;https://dhbw-loerrach.de/home;44176;NA;NA;44176;Martina Berenz;https://www.cas.dhbw.de/bibliothek/services/wissenschaftliches-publizieren/;44393;berenz[at]dhbw[?dot]de;ja;44075;www.dhbw.de/fileadmin/user_upload/Dokumente/Forschung/Open_Access_Policy_der_DHBW_2020.pdf;;NA;NA;;;ja;MWK-Kofinanziert;ja;NA;nein;NA;44176;NA;nein;NA;44360;nein;NA;44360;NA;nein;NA;44393;nein;NA;;nein;;nein;
Baden-Württemberg;Duale Hochschule Baden-Württemberg Stuttgart;öffentlich-rechtlich;Stuttgart;Duale Hochschule Baden-Württemberg Stuttgart;NA;NA;NA;Q1262612;Hochschule;www.dhbw-stuttgart.de/;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;www.dhbw-stuttgart.de/service/bibliothek/wissenschaftliches-publizieren/;44176;NA;NA;44176;Martina Berenz;www.dhbw-stuttgart.de/horb/service/bibliothek/wissenschaftliches-publizieren/;44393;berenz[at]dhbw[?dot]de;ja;44075;www.dhbw-stuttgart.de/fileadmin/dateien-horb/Bibliothek/Open_Access_Policy_der_DHBW_2020.pdf;;NA;NA;;;ja;MWK-Kofinanziert;ja;www.dhbw-stuttgart.de/horb/service/bibliothek/wissenschaftliches-publizieren/;nein;NA;44176;NA;nein;NA;44360;nein;NA;44360;NA;nein;NA;44393;nein;NA;;nein;;nein;
Baden-Württemberg;Duale Hochschule Baden-Württemberg Villingen-Schwenningen;NA;Villingen-Schwenningen;Duale Hochschule Baden-Württemberg Villingen-Schwenningen;NA;NA;NA;Q1262615;Hochschule;www.dhbw-vs.de/;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;www.dhbw-vs.de/studierende/serviceeinrichtungen/bibliothek/wissenschaftliches-arbeiten.html;44176;NA;NA;44176;Martina Berenz;www.dhbw-vs.de/studierende/serviceeinrichtungen/bibliothek/wissenschaftliches-arbeiten.html;44393;berenz[at]dhbw[?dot]de;ja;44075;www.dhbw.de/fileadmin/user_upload/Dokumente/Forschung/Open_Access_Policy_der_DHBW_2020.pdf;;NA;NA;;;ja;MWK-Kofinanziert;ja;www.dhbw-vs.de/studierende/serviceeinrichtungen/bibliothek/wissenschaftliches-arbeiten.html;nein;NA;44176;NA;nein;NA;44360;nein;NA;44360;NA;nein;NA;44393;nein;NA;;nein;;nein;
